conv1_filters_1,kernel_choice_1,max_pooling_choice_1,activation_choice_1,conv1_filters_2,kernel_choice_2,max_pooling_choice_2,activation_choice_2,dense_units,activation_choice_3,optimizer,lr,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,val_accuracy,tuner/trial_id
80,3,"(3,3)",relu,32,5,"(3,3)",tanh,128,sigmoid,sgd,0.045098530718521754,2,0,2,0,0.426630437374115,
64,3,"(2,2)",tanh,16,3,"(2,2)",relu,128,tanh,sgd,0.0960546093569829,2,0,2,0,0.6847826242446899,
80,5,"(3,3)",tanh,96,3,"(2,2)",relu,96,relu,sgd,0.005922857880987987,2,0,2,0,0.32518115639686584,
32,3,"(3,3)",sigmoid,112,3,"(2,2)",relu,96,sigmoid,adam,0.024579799942212197,2,0,2,0,0.2663043439388275,
96,3,"(2,2)",tanh,48,3,"(3,3)",sigmoid,32,sigmoid,adadelta,0.09391493290398198,2,0,2,0,0.2663043439388275,
112,3,"(3,3)",tanh,96,5,"(2,2)",relu,48,sigmoid,sgd,0.05273590753557979,2,0,2,0,0.5561594367027283,
48,5,"(3,3)",sigmoid,128,5,"(3,3)",sigmoid,96,tanh,adam,0.003928921915290968,2,0,2,0,0.239130437374115,
128,3,"(3,3)",relu,16,5,"(2,2)",sigmoid,96,sigmoid,adam,0.0008703150320378962,2,0,2,0,0.6594203114509583,
80,3,"(3,3)",tanh,48,5,"(2,2)",tanh,32,relu,adam,0.00833778180581959,2,0,2,0,0.5634058117866516,
112,5,"(2,2)",sigmoid,48,5,"(3,3)",relu,32,sigmoid,rmsprop,0.012429129757811087,2,0,2,0,0.2663043439388275,
80,3,"(3,3)",relu,48,5,"(2,2)",relu,96,sigmoid,adadelta,1.6600549487569402e-06,2,0,2,0,0.24818840622901917,
80,5,"(3,3)",relu,32,3,"(3,3)",tanh,16,sigmoid,adagrad,6.112511306474713e-05,2,0,2,0,0.2599637806415558,
64,3,"(2,2)",tanh,16,3,"(2,2)",relu,128,tanh,sgd,0.0960546093569829,4,2,2,1,0.7373188138008118,0001
128,3,"(3,3)",relu,16,5,"(2,2)",sigmoid,96,sigmoid,adam,0.0008703150320378962,4,2,2,1,0.7001811861991882,0007
80,3,"(3,3)",tanh,48,5,"(2,2)",tanh,32,relu,adam,0.00833778180581959,4,2,2,1,0.6938405632972717,0008
112,3,"(3,3)",tanh,96,5,"(2,2)",relu,48,sigmoid,sgd,0.05273590753557979,4,2,2,1,0.6802536249160767,0005
64,3,"(2,2)",tanh,16,3,"(2,2)",relu,128,tanh,sgd,0.0960546093569829,10,4,2,2,0.7672101259231567,0012
128,3,"(3,3)",relu,16,5,"(2,2)",sigmoid,96,sigmoid,adam,0.0008703150320378962,10,4,2,2,0.7681159377098083,0013
96,3,"(2,2)",tanh,48,3,"(3,3)",tanh,128,sigmoid,adagrad,0.0004902374050503458,4,0,1,0,0.3070652186870575,
32,5,"(2,2)",relu,128,3,"(2,2)",tanh,16,tanh,sgd,0.000633202164949707,4,0,1,0,0.27355071902275085,
96,5,"(3,3)",sigmoid,112,5,"(2,2)",relu,128,sigmoid,sgd,0.00025537463537483743,4,0,1,0,0.2663043439388275,
80,5,"(2,2)",relu,64,3,"(3,3)",relu,112,relu,adadelta,5.161528628774171e-05,4,0,1,0,0.239130437374115,
64,3,"(2,2)",sigmoid,96,5,"(3,3)",sigmoid,80,tanh,adam,1.280064911300052e-06,4,0,1,0,0.2663043439388275,
32,3,"(2,2)",sigmoid,16,3,"(2,2)",relu,112,sigmoid,sgd,3.055725767794868e-06,4,0,1,0,0.24637681245803833,
96,3,"(2,2)",tanh,48,3,"(3,3)",tanh,128,sigmoid,adagrad,0.0004902374050503458,10,4,1,1,0.2663043439388275,0018
32,5,"(2,2)",relu,128,3,"(2,2)",tanh,16,tanh,sgd,0.000633202164949707,10,4,1,1,0.2753623127937317,0019
80,3,"(3,3)",relu,64,5,"(2,2)",sigmoid,64,sigmoid,adam,0.011109372605884278,10,0,0,0,0.2663043439388275,
80,5,"(2,2)",tanh,32,3,"(2,2)",tanh,112,relu,adagrad,0.0005595821066349054,10,0,0,0,0.5199275612831116,
112,5,"(3,3)",tanh,64,5,"(3,3)",tanh,32,sigmoid,adadelta,0.0004645037259953588,10,0,0,0,0.2663043439388275,
96,5,"(3,3)",tanh,16,5,"(2,2)",sigmoid,32,sigmoid,adam,0.005047062678836285,10,0,0,0,0.8143116235733032,
